name,price,color,mpg,drive_type,engine,mileage
Certified 2016 Volkswagen Passat 1.8T S,13995,white,undefined,2 wheel drive - front,4-cylinder turbo,49109
Used 2016 Ford C-MAX SEL,14995,black,42 city / 37 highway,2 wheel drive - front,4-cylinder,33096
Used 2016 Hyundai Santa Fe FWD Sport,15995,black,20 city / 27 highway,2 wheel drive - front,4-cylinder,30413
Used 2015 Volkswagen Golf SEL,17995,gray,31 city / 41 highway,2 wheel drive - front,4-cylinder turbo,22390
Used 2017 Kia Sedona LX,19495,red,18 city / 24 highway,2 wheel drive - front,6-cylinder,27479
Certified 2017 Volkswagen Golf R 4-Door,31495,gray,23 city / 30 highway,all wheel drive,4-cylinder turbo,26647
Used 2019 Volkswagen GTI Autobahn,33495,blue,25 city / 31 highway,2 wheel drive - front,4-cylinder turbo,1210
Used 2017 Ford Taurus SEL,14749,silver,18 city / 27 highway,2 wheel drive - front,6-cylinder,28345
Used 2018 Chevrolet Silverado 1500 W/T,17495,white,16 city / 23 highway,2 wheel drive - rear,8-cylinder,14754
Used 2018 Chevrolet Silverado 1500 W/T,17995,white,16 city / 23 highway,2 wheel drive - rear,8-cylinder,10011
Used 2017 Ford Fusion Titanium,17995,white,21 city / 31 highway,2 wheel drive - front,4-cylinder turbo,27520
Used 2018 GMC Sierra 1500 4x4 Double Cab,27990,white,16 city / 22 highway,4 wheel drive,8-cylinder,18360
Used 2000 Honda Civic EX Coupe,1998,green,24 city / 32 highway,2 wheel drive - front,4-cylinder,211843
Used 2017 Hyundai Accent SE,10993,gray,26 city / 36 highway,2 wheel drive - front,4-cylinder,40559
Used 2016 Volkswagen Passat 1.8T S,12472,blue,25 city / 36 highway,2 wheel drive - front,4-cylinder turbo,51900
Used 2016 Kia Soul,12909,white,24 city / 30 highway,2 wheel drive - front,4-cylinder,30430
Used 2016 Dodge Grand Caravan SXT,14999,gray,17 city / 25 highway,2 wheel drive - front,6-cylinder,47763
Used 2013 Jeep Grand Cherokee Limited,17499,red,16 city / 23 highway,4 wheel drive,8-cylinder,96846
Used 2018 Nissan Rogue Sport S,17500,black,24 city / 30 highway,all wheel drive,4-cylinder,24295
New 2020 Chrysler Pacifica Touring,30990,silver,19 city / 28 highway,2 wheel drive - front,6-cylinder,undefined
Used 2015 Ford Explorer FWD XLT,19980,brown,20 city / 27 highway,2 wheel drive - front,4-cylinder turbo,25197
Used 2018 Ford Escape FWD SE,17500,white,21 city / 28 highway,2 wheel drive - front,4-cylinder turbo,21624
Used 2019 Hyundai Kona AWD SE,19564,gray,25 city / 30 highway,all wheel drive,4-cylinder,13292
Used 2017 Toyota Prius Four Touring,23500,white,54 city / 50 highway,2 wheel drive - front,4-cylinder,27519
Used 2016 Ford F150 XL,23999,white,18 city / 24 highway,2 wheel drive - rear,6-cylinder,37622
Used 2018 Ford Edge AWD Titanium,25993,black,20 city / 27 highway,all wheel drive,4-cylinder turbo,24612
Used 2017 GMC Acadia AWD Denali,28990,gray,18 city / 25 highway,all wheel drive,6-cylinder,32413
Used 2017 Ford Explorer 4WD Limited,28500,black,16 city / 22 highway,4 wheel drive,6-cylinder,44392
Used 2019 Ford Edge AWD Titanium,29999,silver,21 city / 28 highway,all wheel drive,4-cylinder turbo,14895
Used 2019 Toyota 4Runner SR5,32500,black,17 city / 20 highway,4 wheel drive,6-cylinder,14883
Used 2017 Jeep Wrangler Sport,32606,silver,17 city / 21 highway,4 wheel drive,6-cylinder,17491
Used 2019 Ford Ranger Lariat,36500,blue,20 city / 24 highway,4 wheel drive,4-cylinder turbo,445
Used 2017 Ford F350 XL,37979,white,undefined,4 wheel drive,8-cylinder,17852
Used 2018 Jeep Wrangler 4WD Unlimited Rubicon,44500,red,undefined,4 wheel drive,4-cylinder turbo,16491
Used 2006 Honda Odyssey EX,4991,blue,19 city / 25 highway,2 wheel drive - front,6-cylinder,154001
Used 2018 Ford Fiesta SE Sedan,9991,gray,27 city / 37 highway,2 wheel drive - front,4-cylinder,44281
Used 2019 Hyundai Tucson Value,19491,white,22 city / 25 highway,all wheel drive,4-cylinder,16571
Used 2019 Hyundai Santa Fe AWD SE,20991,black,21 city / 27 highway,all wheel drive,4-cylinder,24052
Certified 2018 Subaru Outback Premium,23491,red,25 city / 32 highway,all wheel drive,4-cylinder,38084
Certified 2018 Subaru Crosstrek 2.0i Premium,23500,blue,27 city / 33 highway,all wheel drive,4-cylinder,33716
Used 2018 RAM 3500 Tradesman,43000,silver,undefined,4 wheel drive,6-cylinder turbo,6908
Used 2004 Chevrolet TrailBlazer LS,3495,tan,14 city / 19 highway,2 wheel drive - rear,6-cylinder,163427
Used 2010 Jaguar XF R,16495,gray,15 city / 21 highway,2 wheel drive - rear,8-cylinder supercharged,71854
